id,vorname,nachname,geschlecht,rat,partei,parteiZuordnung,farbe,kanton,infocube_url,infocube_id
1,Fabio,Abate,m,SR,PLR.I Liberali Radicali,FDP,#5675D6,TI,0,0
2,Andreas,Aebi,m,NR,SVP,SVP,#428953,BE,http://infocube.ch/de/p/418186/salzmann-werner,418186
3,Matthias,Aebischer,m,NR,SP,SP,#CE2929,BE,,
4,Thomas,Aeschi,m,NR,SVP,SVP,#428953,ZG,0,0
5,Evi,Allemann,w,NR,SP,SP,#CE2929,BE,0,0
6,Hans,Altherr,m,SR,FDP.Die Liberalen,FDP,#5675D6,AR,0,0
7,Cesla Virginia,Amarelle,w,NR,PSS,SP,#CE2929,VD,Kein Eintrag,
8,Céline,Amaudruz,w,NR,UDC,SVP,#428953,GE,0,0
9,Viola,Amherd,w,NR,CVP,CVP,#FF8B07,VS,http://infocube.ch/de/p/853602/rall-rene,853602
10,Adrian,Amstutz,m,NR,SVP,SVP,#428953,BE,http://infocube.ch/de/p/6328894/schnegg-roger,6328894
11,Josiane,Aubert,w,NR,PSS,SP,#CE2929,VD,,
12,Caspar,Baader,m,NR,SVP,SVP,#428953,BL,0,0
13,Jacqueline,Badran,w,NR,SP,SP,#CE2929,ZH,http://infocube.ch/de/p/268223/keller-ulrich,268223
15,Isidor,Baumann,m,SR,CVP,CVP,#FF8B07,UR,http://infocube.ch/de/p/51997/baumann-edith,51997
16,Martin,Bäumle,m,NR,glp,GLP,#77E599,ZH,http://infocube.ch/de/p/1058766/gysi-nathalie#activeMandates,1058766
17,Didier,Berberat,m,SR,PSS,SP,#CE2929,NE,Zu ungenau,
18,Maria,Bernasconi,w,NR,PSS,SP,#CE2929,GE,zu ungenau,
19,Kathrin,Bertschy,w,NR,glp,GLP,#77E599,BE,0,0
20,Peter,Bieri,m,SR,CVP,CVP,#FF8B07,ZG,Zu ungenau,
21,Max,Binder,m,NR,SVP,SVP,#428953,ZH,http://infocube.ch/de/p/35427/amstutz-urs,35427
22,Prisca,Birrer-Heimo,w,NR,SP,SP,#CE2929,LU,0,0
23,Pirmin,Bischof,m,SR,CVP,CVP,#FF8B07,SO,0,0
24,Ivo,Bischofberger,m,SR,CVP,CVP,#FF8B07,AI,0,0
25,Christoph,Blocher,m,NR,SVP,SVP,#428953,ZH,,
26,Thomas,Böhni,m,NR,glp,GLP,#77E599,TG,Kein Eintrag,
27,Roland F.,Borer,m,NR,SVP,SVP,#428953,SO,Kein Resultat,
28,Toni,Bortoluzzi,m,NR,SVP,SVP,#428953,ZH,Zu ungenau,
29,Jacques,Bourgeois,m,NR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,FR,http://infocube.ch/de/p/1035028/glauser-fritz,1035028
30,Heinz,Brand,m,NR,SVP,SVP,#428953,GR,0,0
31,Pascale,Bruderer Wyss,w,SR,SP,SP,#CE2929,AG,0,0
32,Toni,Brunner,m,NR,SVP,SVP,#428953,SG,,
33,Roland Rino,Büchel,m,NR,SVP,SVP,#428953,SG,0,0
34,Jakob,Büchler,m,NR,CVP,CVP,#FF8B07,SG,Zu ungenau,
35,André,Bugnon,m,NR,UDC,SVP,#428953,VD,,
36,Christine,Bulliard-Marbach,w,NR,CVP,CVP,#FF8B07,FR,Zu ungenau,
37,Yannick,Buttet,m,NR,PDC,CVP,#FF8B07,VS,http://infocube.ch/de/p/727481/squaratti-alfred#activeMandates,727481
38,Martin,Candinas,m,NR,CVP,CVP,#FF8B07,GR,0,0
39,Marina,Carobbio Guscetti,w,NR,PSS,SP,#CE2929,TI,,
40,Andrea,Caroni,m,NR,FDP.Die Liberalen,FDP,#5675D6,AR,0,0
41,Ignazio,Cassis,m,NR,PLR.I Liberali Radicali,FDP,#5675D6,TI,0,0
42,Isabelle,Chevalley,w,NR,pvl,GLP,PVL,VD,https://infocube.ch/de/p/451881/seydoux-laurent#activeMandates,451881
43,Max,Chopard-Acklin,m,NR,SP,SP,#CE2929,AG,https://infocube.ch/de/p/4377053/widmer-jean-marc#inactiveMandates,4377053
44,Raphaël,Comte,m,SR,PLR.Les Libéraux-Radicaux,FDP,#5675D6,NE,0,0
45,Robert,Cramer,m,SR,GP,GP,#A3DD57,GE,,
46,Christophe,Darbellay,m,NR,PDC,CVP,#FF8B07,VS,,
47,Dominique,de Buman,m,NR,PDC,CVP,#FF8B07,FR,0,0
